## FlyBase unique proteins by gene table
## Generated: Sun Dec 20 13:03:33 2015
## Using datasource: dbi:Pg:dbname=fb_2016_01_reporting;host=flysql15;port=5432...
##FBgn	FB_gene_symbol	representative_protein	identical_protein(s)

FBgn0036952	CG6933	CG6933-PB	CG6933-PE
FBgn0036952	CG6933	CG6933-PC	CG6933-PD
FBgn0036953	CG17145	CG17145-PA	CG17145-PB
FBgn0036956	CG13813	CG13813-PA	
FBgn0036958	CG17233	CG17233-PA	
FBgn0036958	CG17233	CG17233-PC	
FBgn0036958	CG17233	CG17233-PD	CG17233-PI
FBgn0036958	CG17233	CG17233-PE	
FBgn0036958	CG17233	CG17233-PF	
FBgn0036958	CG17233	CG17233-PG	
FBgn0036958	CG17233	CG17233-PH	
FBgn0036959	CG6951	CG6951-PA	CG6951-PB
FBgn0036962	CG17122	CG17122-PA	
FBgn0036964	FRG1	FRG1-PA	
FBgn0036967	CG6597	CG6597-PA	CG6597-PB,CG6597-PE
FBgn0036967	CG6597	CG6597-PD	
FBgn0036969	Spn77Bb	Spn77Bb-PA	
FBgn0036970	Spn77Bc	Spn77Bc-PA	Spn77Bc-PB
FBgn0036973	Rbbp5	Rbbp5-PA	
FBgn0036974	eRF1	eRF1-PA	eRF1-PB,eRF1-PC,eRF1-PE,eRF1-PF,eRF1-PG
FBgn0036974	eRF1	eRF1-PH	
FBgn0036974	eRF1	eRF1-PI	
FBgn0036975	CG5618	CG5618-PA	
FBgn0036975	CG5618	CG5618-PD	CG5618-PE
FBgn0036977	CG5665	CG5665-PB	
FBgn0036977	CG5665	CG5665-PC	
FBgn0036978	Toll-9	Toll-9-PA	Toll-9-PC
FBgn0036978	Toll-9	Toll-9-PB	
FBgn0036979	CG13247	CG13247-PA	
FBgn0036980	RhoBTB	RhoBTB-PA	
FBgn0036980	RhoBTB	RhoBTB-PB	
FBgn0036980	RhoBTB	RhoBTB-PC	
FBgn0036984	CG13248	CG13248-PA	
FBgn0036985	zye	zye-PA	
FBgn0036986	CG5282	CG5282-PA	
FBgn0036987	CG5274	CG5274-PA	CG5274-PB
FBgn0036988	CG5262	CG5262-PA	CG5262-PB
FBgn0036990	mRpL15	mRpL15-PA	
FBgn0036991	CG5872	CG5872-PA	
FBgn0036991	CG5872	CG5872-PB	
FBgn0036992	CG11796	CG11796-PA	
FBgn0036992	CG11796	CG11796-PB	
FBgn0036993	CG5910	CG5910-PA	CG5910-PB
FBgn0036994	CG5199	CG5199-PA	CG5199-PB
FBgn0036995	atk	atk-PA	atk-PB,atk-PC
FBgn0036996	mag	mag-PA	
FBgn0036997	CG5955	CG5955-PA	
FBgn0036998	CG5969	CG5969-PA	
FBgn0036999	isoQC	isoQC-PA	
FBgn0036999	isoQC	isoQC-PB	
FBgn0037000	ZnT77C	ZnT77C-PA	ZnT77C-PB
FBgn0037001	ND-39	ND-39-PA	ND-39-PB
FBgn0037003	CG18281	CG18281-PA	
FBgn0037004	CG17637	CG17637-PA	
FBgn0037005	CG5078	CG5078-PA	
FBgn0037007	CG5059	CG5059-PA	
FBgn0037007	CG5059	CG5059-PB	
FBgn0037007	CG5059	CG5059-PC	CG5059-PD,CG5059-PE
FBgn0037008	mTerf3	mTerf3-PA	
FBgn0037009	CG5104	CG5104-PB	
FBgn0037010	CG4825	CG4825-PA	
FBgn0037010	CG4825	CG4825-PB	
FBgn0037011	CG4858	CG4858-PA	
FBgn0037012	Rcd2	Rcd2-PA	
FBgn0037013	CG13250	CG13250-PA	
FBgn0037013	CG13250	CG13250-PB	
FBgn0037014	CG13251	CG13251-PA	
FBgn0037015	cmpy	cmpy-PB	
FBgn0037015	cmpy	cmpy-PC	cmpy-PD
FBgn0037016	CG13252	CG13252-PA	
FBgn0037017	CG4074	CG4074-PA	CG4074-PB
FBgn0037018	CG4042	CG4042-PA	CG4042-PB
FBgn0037019	Pex16	Pex16-PA	
FBgn0037020	Pex14	Pex14-PA	
FBgn0037021	CG11399	CG11399-PB	
FBgn0037022	CG11396	CG11396-PA	
FBgn0037023	CG3698	CG3698-PA	
FBgn0037024	CG4365	CG4365-PA	
FBgn0037024	CG4365	CG4365-PB	
FBgn0037024	CG4365	CG4365-PC	
FBgn0037025	Spc105R	Spc105R-PA	
FBgn0037025	Spc105R	Spc105R-PB	
FBgn0037026	CG3634	CG3634-PA	CG3634-PB,CG3634-PC
FBgn0037027	HIPP1	HIPP1-PA	
FBgn0037027	HIPP1	HIPP1-PB	
FBgn0037027	HIPP1	HIPP1-PC	
FBgn0037027	HIPP1	HIPP1-PD	
FBgn0037028	CG3618	CG3618-PA	CG3618-PB
FBgn0037030	CG3288	CG3288-PA	CG3288-PB
FBgn0037031	CG11456	CG11456-PA	CG11456-PC
FBgn0037031	CG11456	CG11456-PB	
FBgn0037035	CG10589	CG10589-PA	
FBgn0037036	Sems	Sems-PA	
FBgn0037037	CG10588	CG10588-PA	CG10588-PB
FBgn0037038	CG11037	CG11037-PA	
FBgn0037039	CG10587	CG10587-PA	
FBgn0037039	CG10587	CG10587-PC	
FBgn0037039	CG10587	CG10587-PD	
FBgn0037040	CG12983	CG12983-PB	
FBgn0037040	CG12983	CG12983-PC	
FBgn0037040	CG12983	CG12983-PD	
FBgn0037040	CG12983	CG12983-PE	
FBgn0037040	CG12983	CG12983-PF	
FBgn0037042	CG12984	CG12984-PA	
FBgn0037042	CG12984	CG12984-PB	
FBgn0037044	CG10585	CG10585-PA	CG10585-PB
FBgn0037045	CG10584	CG10584-PA	
FBgn0037046	CG10581	CG10581-PA	
FBgn0037050	ICA69	ICA69-PA	ICA69-PB
FBgn0037051	CG10565	CG10565-PA	CG10565-PB
FBgn0037057	CG10512	CG10512-PA	
FBgn0037057	CG10512	CG10512-PB	
FBgn0037057	CG10512	CG10512-PC	CG10512-PD
FBgn0037059	CG10510	CG10510-PA	
FBgn0037060	CG10508	CG10508-PI	
FBgn0037060	CG10508	CG10508-PJ	
FBgn0037060	CG10508	CG10508-PK	
FBgn0037060	CG10508	CG10508-PL	
FBgn0037061	CG12975	CG12975-PA	
FBgn0037063	CG9391	CG9391-PA	CG9391-PC
FBgn0037064	CG9389	CG9389-PA	
FBgn0037065	CG12974	CG12974-PA	CG12974-PC
FBgn0037065	CG12974	CG12974-PB	CG12974-PD
FBgn0037067	Cpr78Ca	Cpr78Ca-PA	
FBgn0037068	Cpr78Cb	Cpr78Cb-PA	Cpr78Cb-PB
FBgn0037069	Cpr78Cc	Cpr78Cc-PA	
FBgn0037070	CG11309	CG11309-PA	
FBgn0037070	CG11309	CG11309-PB	CG11309-PC,CG11309-PD,CG11309-PE,CG11309-PF
FBgn0037071	CG7632	CG7632-PA	
FBgn0037071	CG7632	CG7632-PB	
FBgn0037073	Tsr1	Tsr1-PA	
FBgn0037074	CG7324	CG7324-PA	
FBgn0037074	CG7324	CG7324-PB	
FBgn0037076	ebd2	ebd2-PA	ebd2-PB
FBgn0037078	CG12971	CG12971-PB	
FBgn0037078	CG12971	CG12971-PC	
FBgn0037081	barc	barc-PA	barc-PC
FBgn0037082	CG5664	CG5664-PA	
FBgn0037082	CG5664	CG5664-PB	
FBgn0037084	Syx6	Syx6-PB	
FBgn0037084	Syx6	Syx6-PD	
FBgn0037084	Syx6	Syx6-PE	
FBgn0037085	Neu2	Neu2-PA	
FBgn0037085	Neu2	Neu2-PB	
FBgn0037086	CG7202	CG7202-PA	
FBgn0037087	CG7519	CG7519-PA	
FBgn0037087	CG7519	CG7519-PB	
FBgn0037090	Est-Q	Est-Q-PA	
FBgn0037092	M6	M6-PB	
FBgn0037092	M6	M6-PC	
FBgn0037092	M6	M6-PD	
FBgn0037092	M6	M6-PE	
FBgn0037092	M6	M6-PF	
FBgn0037092	M6	M6-PG	
FBgn0037093	Cdk12	Cdk12-PA	Cdk12-PB,Cdk12-PC
FBgn0037094	CG7611	CG7611-PA	CG7611-PB,CG7611-PC,CG7611-PD,CG7611-PE,CG7611-PG,CG7611-PH,CG7611-PI,CG7611-PJ
FBgn0037098	Wnk	Wnk-PL	Wnk-PN
FBgn0037098	Wnk	Wnk-PM	
FBgn0037098	Wnk	Wnk-PO	
FBgn0037099	CG7173	CG7173-PA	
FBgn0037100	CapaR	CapaR-PB	
FBgn0037100	CapaR	CapaR-PC	
FBgn0037101	CG7634	CG7634-PA	
FBgn0037102	CRIF	CRIF-PA	
FBgn0037105	S1P	S1P-PA	
FBgn0037106	CG11307	CG11307-PC	CG11307-PD
FBgn0037107	CG7166	CG7166-PB	CG7166-PC
FBgn0037108	CG11306	CG11306-PA	CG11306-PB
FBgn0037109	MED1	MED1-PA	
FBgn0037109	MED1	MED1-PB	
FBgn0037109	MED1	MED1-PC	
FBgn0037110	ORMDL	ORMDL-PA	
FBgn0037114	Cpr78E	Cpr78E-PA	
FBgn0037115	CG11249	CG11249-PA	
FBgn0037116	Als2	Als2-PA	
FBgn0037117	CG11248	CG11248-PA	CG11248-PB,CG11248-PC
FBgn0037120	CG11247	CG11247-PA	CG11247-PB,CG11247-PC
FBgn0037120	CG11247	CG11247-PD	
FBgn0037121	Rpb8	Rpb8-PA	
FBgn0037122	CG14570	CG14570-PA	
FBgn0037123	CG14569	CG14569-PA	
FBgn0037124	CG14568	CG14568-PA	
FBgn0037125	CG14573	CG14573-PA	
FBgn0037126	CG14567	CG14567-PA	
FBgn0037127	CG14566	CG14566-PA	CG14566-PB
FBgn0037128	CG14572	CG14572-PA	
FBgn0037129	CG14565	CG14565-PA	
FBgn0037130	Syn1	Syn1-PB	Syn1-PD
FBgn0037130	Syn1	Syn1-PC	
FBgn0037130	Syn1	Syn1-PE	
FBgn0037131	CG14564	CG14564-PA	
FBgn0037133	CG7370	CG7370-PA	
FBgn0037134	CG7407	CG7407-PA	
FBgn0037135	CG7414	CG7414-PA	CG7414-PD
FBgn0037135	CG7414	CG7414-PC	CG7414-PE
FBgn0037137	Nopp140	Nopp140-PA	
FBgn0037137	Nopp140	Nopp140-PB	
FBgn0037137	Nopp140	Nopp140-PE	
FBgn0037137	Nopp140	Nopp140-PF	
FBgn0037138	P5CDh1	P5CDh1-PA	P5CDh1-PB,P5CDh1-PD,P5CDh1-PE,P5CDh1-PF
FBgn0037139	CG14563	CG14563-PA	
FBgn0037140	CG7442	CG7442-PA	
FBgn0037141	DNApol-eta	DNApol-eta-PA	
FBgn0037142	CG14562	CG14562-PA	CG14562-PB
FBgn0037144	CG7458	CG7458-PA	
FBgn0037146	CG7470	CG7470-PA	CG7470-PB
FBgn0037147	CG7140	CG7140-PB	
FBgn0037149	CG14561	CG14561-PA	CG14561-PB
FBgn0037150	CG7133	CG7133-PA	
FBgn0037151	CG7130	CG7130-PA	
FBgn0037153	olf413	olf413-PB	olf413-PC
FBgn0037156	CG11523	CG11523-PA	
FBgn0037162	CG11449	CG11449-PA	
FBgn0037163	laza	laza-PA	
FBgn0037164	CG11438	CG11438-PA	CG11438-PB
FBgn0037165	CG11437	CG11437-PA	
FBgn0037166	CG11426	CG11426-PA	
FBgn0037167	CG11425	CG11425-PA	
FBgn0037169	CG11404	CG11404-PA	
FBgn0037169	CG11404	CG11404-PB	
FBgn0037170	Trxr-2	Trxr-2-PA	
FBgn0037171	CG14459	CG14459-PC	CG14459-PD,CG14459-PE
FBgn0037172	ND-B14.5AL	ND-B14.5AL-PA	
FBgn0037174	CG14457	CG14457-PA	
FBgn0037174	CG14457	CG14457-PB	
FBgn0037174	CG14457	CG14457-PC	
FBgn0037175	CG14455	CG14455-PB	
FBgn0037176	CG14456	CG14456-PA	
FBgn0037176	CG14456	CG14456-PB	
FBgn0037177	CG14454	CG14454-PA	CG14454-PB
FBgn0037178	CG12546	CG12546-PA	
FBgn0037179	CG14453	CG14453-PA	
FBgn0037180	CG14452	CG14452-PA	
FBgn0037181	CG11370	CG11370-PA	
FBgn0037181	CG11370	CG11370-PB	
FBgn0037182	ArfGAP3	ArfGAP3-PA	ArfGAP3-PB,ArfGAP3-PC
FBgn0037182	ArfGAP3	ArfGAP3-PE	
FBgn0037182	ArfGAP3	ArfGAP3-PF	
FBgn0037182	ArfGAP3	ArfGAP3-PG	
FBgn0037182	ArfGAP3	ArfGAP3-PH	
FBgn0037183	CG14451	CG14451-PA	
FBgn0037184	CG14450	CG14450-PA	
FBgn0037184	CG14450	CG14450-PB	
FBgn0037185	CG11367	CG11367-PA	
FBgn0037186	CG11241	CG11241-PA	
FBgn0037186	CG11241	CG11241-PB	CG11241-PC
FBgn0037188	CG7369	CG7369-PA	
FBgn0037191	CG14448	CG14448-PA	
FBgn0037195	CG11226	CG11226-PA	
FBgn0037197	CG13239	CG13239-PA	
FBgn0037199	CG11137	CG11137-PA	CG11137-PB
FBgn0037200	CG11109	CG11109-PA	
FBgn0037200	CG11109	CG11109-PB	
FBgn0037202	Ssl1	Ssl1-PA	Ssl1-PB
FBgn0037203	slif	slif-PA	slif-PB,slif-PC
FBgn0037204	CG11131	CG11131-PA	CG11131-PB
FBgn0037205	BoYb	BoYb-PA	
FBgn0037206	CG12768	CG12768-PA	CG12768-PB,CG12768-PC,CG12768-PD
FBgn0037207	Mes2	Mes2-PB	
FBgn0037207	Mes2	Mes2-PC	
FBgn0037213	CG12581	CG12581-PA	CG12581-PB
FBgn0037215	beta-Man	beta-Man-PA	beta-Man-PD
FBgn0037215	beta-Man	beta-Man-PF	beta-Man-PG
FBgn0037215	beta-Man	beta-Man-PH	
FBgn0037217	CG14636	CG14636-PA	CG14636-PB
FBgn0037218	aux	aux-PA	aux-PB
FBgn0037218	aux	aux-PC	
FBgn0037218	aux	aux-PD	
FBgn0037220	CG14641	CG14641-PA	
FBgn0037222	CG14642	CG14642-PA	
FBgn0037222	CG14642	CG14642-PB	CG14642-PC
FBgn0037224	TwdlF	TwdlF-PA	
FBgn0037225	TwdlG	TwdlG-PA	TwdlG-PB,TwdlG-PC
FBgn0037227	TwdlV	TwdlV-PA	
FBgn0037228	CG1092	CG1092-PC	CG1092-PD
FBgn0037229	CG9766	CG9766-PC	
FBgn0037230	CG9780	CG9780-PA	
FBgn0037231	Vps24	Vps24-PA	Vps24-PB
FBgn0037232	CG9791	CG9791-PC	CG9791-PD
FBgn0037234	CG9795	CG9795-PA	
FBgn0037234	CG9795	CG9795-PD	
FBgn0037234	CG9795	CG9795-PE	
FBgn0037234	CG9795	CG9795-PF	
FBgn0037235	CG1103	CG1103-PA	CG1103-PB
FBgn0037236	Skp2	Skp2-PA	Skp2-PE
FBgn0037238	CG1090	CG1090-PE	
FBgn0037238	CG1090	CG1090-PG	CG1090-PH,CG1090-PI
FBgn0037239	CG11739	CG11739-PA	CG11739-PB,CG11739-PC,CG11739-PD
FBgn0037240	Cont	Cont-PA	
FBgn0037241	CG14646	CG14646-PA	CG14646-PB
FBgn0037242	CG9855	CG9855-PA	CG9855-PC
FBgn0037244	CG14647	CG14647-PB	
FBgn0037248	srl	srl-PB	srl-PE
FBgn0037248	srl	srl-PD	
FBgn0037249	eIF3-S10	eIF3-S10-PA	eIF3-S10-PD
FBgn0037250	CG1074	CG1074-PA	
FBgn0037251	CG9804	CG9804-PA	CG9804-PB
FBgn0037252	CG14650	CG14650-PA	
FBgn0037254	CG14651	CG14651-PB	
FBgn0037255	Fip1	Fip1-PA	
FBgn0037260	Mur82C	Mur82C-PB	
FBgn0037261	CG9775	CG9775-PA	CG9775-PC,CG9775-PE
FBgn0037261	CG9775	CG9775-PD	
FBgn0037262	MED31	MED31-PA	MED31-PB,MED31-PC
FBgn0037262	MED31	MED31-PD	
FBgn0037262	MED31	MED31-PE	
FBgn0037263	slx1	slx1-PB	
FBgn0037265	spartin	spartin-PA	spartin-PB
FBgn0037270	CG9769	CG9769-PA	
FBgn0037275	CG14655	CG14655-PA	
FBgn0037276	CG17387	CG17387-PA	
FBgn0037279	CG1129	CG1129-PA	CG1129-PB,CG1129-PD,CG1129-PE
FBgn0037280	CG1126	CG1126-PA	
FBgn0037282	CG14657	CG14657-PB	CG14657-PC
FBgn0037282	CG14657	CG14657-PD	
FBgn0037283	CG14658	CG14658-PA	
FBgn0037284	CG14659	CG14659-PA	
FBgn0037288	CG14661	CG14661-PA	CG14661-PB
FBgn0037290	CG1124	CG1124-PA	
FBgn0037291	CG14662	CG14662-PA	
FBgn0037292	CG2022	CG2022-PB	
FBgn0037293	CG12007	CG12007-PA	
FBgn0037294	CG12590	CG12590-PA	
FBgn0037295	dpr16	dpr16-PB	
FBgn0037295	dpr16	dpr16-PC	
FBgn0037296	Prosbeta2R2	Prosbeta2R2-PA	
FBgn0037297	CG1116	CG1116-PA	
FBgn0037297	CG1116	CG1116-PB	
FBgn0037297	CG1116	CG1116-PD	
FBgn0037298	CG2604	CG2604-PA	CG2604-PB,CG2604-PC
FBgn0037299	Vps37B	Vps37B-PA	Vps37B-PB,Vps37B-PC
FBgn0037301	Mms19	Mms19-PB	
FBgn0037304	CG1113	CG1113-PA	CG1113-PB
FBgn0037305	CG12173	CG12173-PA	
FBgn0037307	Tim17a2	Tim17a2-PA	
FBgn0037310	Tim17b1	Tim17b1-PA	
FBgn0037312	CG11999	CG11999-PA	
FBgn0037313	CG1161	CG1161-PA	
FBgn0037313	CG1161	CG1161-PC	
FBgn0037315	Cerk	Cerk-PA	Cerk-PB
FBgn0037317	CG14667	CG14667-PB	
FBgn0037320	CG14668	CG14668-PA	
FBgn0037322	Or83a	Or83a-PA	
FBgn0037323	CG2663	CG2663-PA	CG2663-PC
FBgn0037324	Orco	Orco-PA	Orco-PB
FBgn0037325	CG12147	CG12147-PA	
FBgn0037326	CG14669	CG14669-PA	CG14669-PB
FBgn0037326	CG14669	CG14669-PC	
FBgn0037326	CG14669	CG14669-PD	
FBgn0037327	PEK	PEK-PA	
FBgn0037327	PEK	PEK-PB	
FBgn0037327	PEK	PEK-PC	
FBgn0037328	RpL35A	RpL35A-PA	
FBgn0037329	POLDIP2	POLDIP2-PA	
FBgn0037329	POLDIP2	POLDIP2-PB	
FBgn0037330	mRpL44	mRpL44-PA	
FBgn0037332	Hcs	Hcs-PA	
FBgn0037332	Hcs	Hcs-PB	
FBgn0037332	Hcs	Hcs-PC	
FBgn0037332	Hcs	Hcs-PD	
FBgn0037336	CG2519	CG2519-PA	
FBgn0037336	CG2519	CG2519-PB	CG2519-PC
FBgn0037338	Snm1	Snm1-PA	
FBgn0037339	Pi4KIIalpha	Pi4KIIalpha-PA	Pi4KIIalpha-PC
FBgn0037339	Pi4KIIalpha	Pi4KIIalpha-PB	
FBgn0037340	CG14671	CG14671-PA	CG14671-PB
FBgn0037341	CG12746	CG12746-PB	CG12746-PD,CG12746-PE
FBgn0037342	CG2931	CG2931-PA	
FBgn0037344	CG2926	CG2926-PA	
FBgn0037344	CG2926	CG2926-PB	
FBgn0037345	rev7	rev7-PA	
FBgn0037347	CG1427	CG1427-PC	
FBgn0037347	CG1427	CG1427-PD	
FBgn0037347	CG1427	CG1427-PE	
FBgn0037350	CG2911	CG2911-PA	CG2911-PB
FBgn0037351	RpL13A	RpL13A-PB	
FBgn0037351	RpL13A	RpL13A-PC	
FBgn0037354	CG12171	CG12171-PA	
FBgn0037356	CG12170	CG12170-PA	
FBgn0037358	elm	elm-PA	elm-PB
FBgn0037359	MED27	MED27-PA	
FBgn0037360	CG2182	CG2182-PA	
FBgn0037363	Atg17	Atg17-PB	Atg17-PC
FBgn0037364	Rab23	Rab23-PA	
FBgn0037365	CG2104	CG2104-PA	CG2104-PB
FBgn0037368	CG1239	CG1239-PA	CG1239-PB,CG1239-PC
FBgn0037369	CG2100	CG2100-PA	CG2100-PB
FBgn0037370	CG1236	CG1236-PA	
FBgn0037371	Sym	Sym-PA	
FBgn0037372	CG2091	CG2091-PA	
FBgn0037374	jagn	jagn-PA	jagn-PB
FBgn0037375	kat-60L1	kat-60L1-PA	kat-60L1-PF
FBgn0037375	kat-60L1	kat-60L1-PB	kat-60L1-PC
FBgn0037375	kat-60L1	kat-60L1-PD	kat-60L1-PH
FBgn0037375	kat-60L1	kat-60L1-PE	kat-60L1-PG
FBgn0037376	CG2051	CG2051-PA	CG2051-PB
FBgn0037377	CG1218	CG1218-PA	
FBgn0037378	CG2046	CG2046-PA	
FBgn0037379	CG10979	CG10979-PA	CG10979-PB
FBgn0037382	Hpr1	Hpr1-PA	
FBgn0037383	CG2023	CG2023-PA	CG2023-PB
FBgn0037384	dgrn	dgrn-PA	
FBgn0037384	dgrn	dgrn-PB	
FBgn0037384	dgrn	dgrn-PD	
FBgn0037385	glob3	glob3-PA	
FBgn0037386	CG1208	CG1208-PB	
FBgn0037386	CG1208	CG1208-PC	
FBgn0037387	CG1213	CG1213-PA	CG1213-PB,CG1213-PC,CG1213-PD
FBgn0037388	CG14676	CG14676-PA	
FBgn0037391	CG2017	CG2017-PA	
FBgn0037391	CG2017	CG2017-PB	CG2017-PC,CG2017-PD,CG2017-PE
FBgn0037395	CG10280	CG10280-PA	
FBgn0037395	CG10280	CG10280-PB	
FBgn0037396	CG11459	CG11459-PA	CG11459-PB
FBgn0037398	CG15580	CG15580-PA	
FBgn0037399	Or83c	Or83c-PA	
FBgn0037402	Vha14-2	Vha14-2-PA	
FBgn0037402	Vha14-2	Vha14-2-PB	Vha14-2-PC
FBgn0037405	CG1077	CG1077-PA	
FBgn0037406	Osi1	Osi1-PA	
FBgn0037408	NPFR	NPFR-PA	
FBgn0037408	NPFR	NPFR-PB	
FBgn0037408	NPFR	NPFR-PC	
FBgn0037408	NPFR	NPFR-PD	
FBgn0037409	Osi24	Osi24-PA	
FBgn0037410	Osi2	Osi2-PA	Osi2-PB,Osi2-PC
FBgn0037411	Osi3	Osi3-PA	Osi3-PB
FBgn0037412	Osi4	Osi4-PA	
FBgn0037412	Osi4	Osi4-PB	
FBgn0037413	Osi5	Osi5-PA	
FBgn0037413	Osi5	Osi5-PB	
FBgn0037414	Osi7	Osi7-PA	
FBgn0037415	Osi8	Osi8-PA	
FBgn0037416	Osi9	Osi9-PA	
FBgn0037417	Osi10	Osi10-PA	
FBgn0037418	Osi11	Osi11-PA	
FBgn0037419	Osi12	Osi12-PA	
FBgn0037420	CG15597	CG15597-PB	
FBgn0037421	CG15594	CG15594-PB	
FBgn0037422	Osi13	Osi13-PA	
FBgn0037424	Osi15	Osi15-PA	
FBgn0037427	Osi17	Osi17-PA	Osi17-PB
FBgn0037427	Osi17	Osi17-PC	Osi17-PD
FBgn0037428	Osi18	Osi18-PA	
FBgn0037429	Osi19	Osi19-PA	
FBgn0037429	Osi19	Osi19-PB	
FBgn0037430	Osi20	Osi20-PA	
FBgn0037431	CG17917	CG17917-PA	
FBgn0037432	CG10298	CG10298-PA	
FBgn0037433	CG17919	CG17919-PA	
FBgn0037435	CG18048	CG18048-PA	
FBgn0037436	Hr83	Hr83-PA	
FBgn0037439	CG10286	CG10286-PA	
FBgn0037440	CRAT	CRAT-PA	CRAT-PD
FBgn0037440	CRAT	CRAT-PB	
FBgn0037440	CRAT	CRAT-PE	
FBgn0037442	godzilla	godzilla-PA	godzilla-PB,godzilla-PC,godzilla-PD
FBgn0037443	Dmtn	Dmtn-PD	Dmtn-PE,Dmtn-PF
FBgn0037443	Dmtn	Dmtn-PG	
FBgn0037443	Dmtn	Dmtn-PH	
FBgn0037445	CG9727	CG9727-PA	CG9727-PC
FBgn0037445	CG9727	CG9727-PB	
FBgn0037446	Zif	Zif-PA	Zif-PB,Zif-PC
FBgn0037447	Neurochondrin	Neurochondrin-PA	
FBgn0037448	CG15186	CG15186-PA	
FBgn0037448	CG15186	CG15186-PB	
FBgn0037448	CG15186	CG15186-PC	
FBgn0037448	CG15186	CG15186-PE	
FBgn0037448	CG15186	CG15186-PF	
FBgn0037448	CG15186	CG15186-PG	
FBgn0037448	CG15186	CG15186-PH	CG15186-PL,CG15186-PM
FBgn0037448	CG15186	CG15186-PI	
FBgn0037448	CG15186	CG15186-PJ	
FBgn0037448	CG15186	CG15186-PK	
FBgn0037449	CG15185	CG15185-PA	
FBgn0037454	CG1137	CG1137-PA	
FBgn0037455	CG2336	CG2336-PA	
FBgn0037456	CG1138	CG1138-PA	
FBgn0037460	sowi	sowi-PA	
FBgn0037461	CG15177	CG15177-PA	
FBgn0037461	CG15177	CG15177-PB	
FBgn0037462	sunz	sunz-PA	
FBgn0037463	djl	djl-PA	
FBgn0037464	CG1988	CG1988-PB	
FBgn0037464	CG1988	CG1988-PC	
FBgn0037464	CG1988	CG1988-PD	
FBgn0037465	CG1105	CG1105-PA	
FBgn0037466	CG1965	CG1965-PA	
FBgn0037466	CG1965	CG1965-PB	
FBgn0037466	CG1965	CG1965-PC	
FBgn0037467	CG1104	CG1104-PA	CG1104-PC
FBgn0037468	CG1943	CG1943-PA	CG1943-PB,CG1943-PC,CG1943-PD
FBgn0037469	Dpck	Dpck-PA	
FBgn0037470	Tailor	Tailor-PA	
FBgn0037470	Tailor	Tailor-PB	
FBgn0037470	Tailor	Tailor-PC	
FBgn0037472	CG10098	CG10098-PA	
FBgn0037473	CG10068	CG10068-PA	
FBgn0037475	Fer1	Fer1-PA	
FBgn0037475	Fer1	Fer1-PB	
FBgn0037477	CG14610	CG14610-PB	
FBgn0037478	CG2656	CG2656-PA	
FBgn0037481	MAGE	MAGE-PA	
FBgn0037482	CG10055	CG10055-PA	
FBgn0037483	CG14609	CG14609-PA	CG14609-PB
FBgn0037485	CG14606	CG14606-PA	CG14606-PB
FBgn0037486	CG14605	CG14605-PB	CG14605-PD
FBgn0037486	CG14605	CG14605-PE	
FBgn0037487	CG14608	CG14608-PC	
FBgn0037488	CG14607	CG14607-PB	
FBgn0037489	CG1234	CG1234-PA	
FBgn0037490	CG10053	CG10053-PA	CG10053-PB
FBgn0037491	CG1227	CG1227-PA	CG1227-PB
FBgn0037492	CG10050	CG10050-PA	
FBgn0037493	CG10032	CG10032-PA	
FBgn0037498	CG10029	CG10029-PA	
FBgn0037500	CG17944	CG17944-PB	
FBgn0037501	Ir84a	Ir84a-PB	
FBgn0037502	wa-cup	wa-cup-PB	
FBgn0037503	CG14598	CG14598-PA	
FBgn0037504	CG1142	CG1142-PA	
FBgn0037506	CG1287	CG1287-PA	
FBgn0037512	CG2616	CG2616-PA	CG2616-PB
FBgn0037513	pyd3	pyd3-PA	
FBgn0037514	CG10919	CG10919-PA	
FBgn0037515	Sp7	Sp7-PA	Sp7-PE,Sp7-PF
FBgn0037516	CG11286	CG11286-PA	
FBgn0037516	CG11286	CG11286-PB	
FBgn0037517	CG10086	CG10086-PA	
FBgn0037518	CG2641	CG2641-PA	
FBgn0037519	CG3014	CG3014-PA	CG3014-PC
FBgn0037520	CG18268	CG18268-PA	
FBgn0037521	CG2993	CG2993-PA	
FBgn0037521	CG2993	CG2993-PB	
FBgn0037521	CG2993	CG2993-PC	
FBgn0037525	CG17816	CG17816-PD	CG17816-PH
FBgn0037525	CG17816	CG17816-PE	
FBgn0037525	CG17816	CG17816-PF	
FBgn0037525	CG17816	CG17816-PG	
FBgn0037525	CG17816	CG17816-PI	
FBgn0037525	CG17816	CG17816-PJ	
FBgn0037525	CG17816	CG17816-PK	
FBgn0037526	CG10092	CG10092-PA	CG10092-PB
FBgn0037529	mRpS9	mRpS9-PA	
FBgn0037530	EMC1	EMC1-PA	EMC1-PB
FBgn0037530	EMC1	EMC1-PC	EMC1-PD
FBgn0037531	CG10445	CG10445-PC	CG10445-PD
FBgn0037531	CG10445	CG10445-PE	
FBgn0037533	CD98hc	CD98hc-PA	CD98hc-PB,CD98hc-PF
FBgn0037533	CD98hc	CD98hc-PD	
FBgn0037534	CG2781	CG2781-PA	
FBgn0037535	CG14463	CG14463-PA	CG14463-PB
FBgn0037536	CG2698	CG2698-PA	
FBgn0037536	CG2698	CG2698-PC	
FBgn0037536	CG2698	CG2698-PD	
FBgn0037536	CG2698	CG2698-PE	
